@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric

@data
3815,'2019/02/12 12:39:54:641',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3816,'2019/02/12 12:39:54:653',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3817,'2019/02/12 12:39:54:663',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3818,'2019/02/12 12:39:54:675',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3819,'2019/02/12 12:39:54:686',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3820,'2019/02/12 12:39:54:696',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3821,'2019/02/12 12:39:54:708',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3822,'2019/02/12 12:39:54:720',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3823,'2019/02/12 12:39:54:730',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
3824,'2019/02/12 12:39:54:741',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3825,'2019/02/12 12:39:54:752',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3826,'2019/02/12 12:39:54:762',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3827,'2019/02/12 12:39:54:774',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3828,'2019/02/12 12:39:54:785',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3829,'2019/02/12 12:39:54:795',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3830,'2019/02/12 12:39:54:807',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3831,'2019/02/12 12:39:54:819',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3832,'2019/02/12 12:39:54:829',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3833,'2019/02/12 12:39:54:840',6,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0
3834,'2019/02/12 12:39:54:853',6,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,0.317709,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0.335695,0
3835,'2019/02/12 12:39:54:862',6,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,0.317709,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0.335695,0
3836,'2019/02/12 12:39:54:874',6,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,0.317709,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0.335695,0
3837,'2019/02/12 12:39:54:886',6,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,0.317709,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0.335695,0
3838,'2019/02/12 12:39:54:896',6,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,0.669487,0.317709,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0.696929,0.335695,0
